ticker;name;sektor;land;waehrung;marktkap_mrd;roce_prozent;roce_schnitt_prozent;gewinnrendite_prozent;fcf_rendite_prozent;umsatz_cagr_prozent;bruttomarge_prozent;schulden_zu_ebitda;kgv;rang_qualitaet;rang_bewertung;magic_rang;kandidat;verletzte_kriterien;ausschluss
SGO.PA;SAINT GOBAIN;Industrials;France;EUR;40.8;11.1;11.5;9.6;8.4;-3.2;27.8;1.3;14.4;41;17;58;nein;ROCE < 15 % | Umsatz schrumpft;
DTE.DE;DEUTSCHE TELEKOM AG           N;Communication Services;Germany;EUR;133.9;10.3;8.9;9.8;16.0;1.4;61.1;2.7;15.3;45;15;60;nein;ROCE < 15 %;
G1A.DE;GEA Group AG                  I;Industrials;Germany;EUR;10.2;18.6;16.3;6.5;4.7;2.1;37.3;0.0;24.5;18;42;60;JA;;
TKA.DE;thyssenkrupp AG               I;Industrials;Germany;EUR;7.7;7.2;0.5;50.0;0.4;-7.2;11.3;0.0;1239.0;59;1;60;nein;ROCE < 15 % | FCF-Rendite < 3 % | Umsatz schrumpft | FCF mehrfach negativ;
HEI.DE;Heidelberg Materials AG       I;Basic Materials;Germany;EUR;28.6;11.0;10.0;9.4;6.4;0.6;64.2;1.2;14.1;43;18;61;nein;ROCE < 15 %;
SAP.DE;SAP SE                        I;Technology;Germany;EUR;188.2;20.3;12.5;5.8;4.5;7.6;72.9;0.0;24.4;13;49;62;JA;;
BC8.DE;BECHTLE AG                    I;Technology;Germany;EUR;4.7;12.4;14.9;7.9;3.6;2.0;18.6;0.0;19.8;36;26;62;nein;ROCE < 15 %;
RAA.DE;RATIONAL AG                   I;Industrials;Germany;EUR;7.8;34.9;34.8;4.7;2.8;7.2;59.0;0.0;30.4;3;60;63;nein;Gewinnrendite < 5 % | FCF-Rendite < 3 %;
ITX.MC;;Consumer Cyclical;Spain;EUR;178.8;32.9;30.1;4.8;3.6;7.0;58.3;0.0;28.6;4;59;63;nein;Gewinnrendite < 5 %;
ADS.DE;adidas AG                     N;Consumer Cyclical;Germany;EUR;29.0;18.3;9.4;6.2;0.9;3.3;51.6;1.3;21.2;20;45;65;nein;FCF-Rendite < 3 %;
